City,Date,Max Temp (°C),Min Temp (°C),Precipitation (mm)
Akron,2017-06-24,26.6,17.2,0.064
Akron,2017-10-20,22.8,7.0,0.009
Alexandria,2014-12-05,26.0,10.1,0.0
Allen,2015-11-29,3.9,-0.6,0.0
Allentown,2016-07-22,34.1,20.5,0.0
Amarillo,2015-10-15,30.7,13.4,0.0
Amarillo,2017-03-31,18.8,5.7,0.294
Anaheim,2017-06-29,23.6,17.3,0.0
Antioch,2016-12-06,13.0,2.4,0.0
Apopka,2016-05-17,31.6,21.5,34.038
Appleton,2014-05-03,14.8,5.4,0.0
Arlington,2015-08-24,36.4,26.5,0.0
Arlington,2015-09-19,32.6,24.7,0.473
Arlington,2016-03-28,20.8,4.3,0.0
Arlington,2016-05-19,21.1,15.4,11.232
Arlington,2016-07-08,35.0,24.8,0.0
Arlington,2017-04-15,26.1,18.0,0.0
Arvada,2016-09-12,21.5,12.8,2.369
Asheville,2016-05-20,14.3,12.2,9.4
Atlanta,2015-03-16,27.3,6.8,0.0
Atlanta,2017-11-03,25.1,13.4,0.213
Atlanta,2017-11-26,16.7,5.6,0.0
Auburn,2016-04-01,21.2,16.2,87.107
Auburn,2016-09-18,30.0,22.9,0.002
Auburn,2016-11-13,18.3,8.9,0.0
Auburn,2017-05-21,27.2,18.9,37.589
Auburn,2017-10-29,10.0,2.9,0.0
Aurora,2015-10-01,16.0,6.6,0.0
Aurora,2015-11-13,8.7,-0.8,0.0
Aurora,2016-04-22,15.1,5.9,0.038
Aurora,2016-08-15,25.5,18.4,0.51
Aurora,2016-09-03,25.9,12.2,0.0
Aurora,2016-09-19,31.0,12.2,0.0
Aurora,2016-10-13,13.6,2.5,0.0
Aurora,2016-12-11,0.9,-4.2,4.961
Aurora,2017-10-09,26.6,9.1,0.0
Austin,2015-12-06,20.6,6.2,0.0
Austin,2015-12-20,19.3,10.2,0.0
Austin,2017-08-01,36.6,23.2,0.0
Austin,2017-09-16,33.3,24.2,0.0
Austin,2017-11-12,24.8,18.1,0.826
Baltimore,2014-04-28,15.2,9.0,5.744
Baltimore,2017-09-12,24.2,14.7,0.0
Bayonne,2015-09-25,21.8,10.1,0.197
Belleville,2016-10-28,15.6,2.6,0.0
Belleville,2017-06-20,33.4,19.9,0.0
Bellevue,2015-02-06,14.8,11.6,19.441
Bloomington,2014-09-20,27.0,10.9,0.007
Bloomington,2015-10-22,27.8,15.0,0.0
Boca Raton,2014-09-22,30.6,23.9,15.613
Bossier City,2014-01-13,18.4,7.8,0.531
Bowling Green,2016-07-18,32.2,22.8,0.0
Boynton Beach,2016-10-28,27.5,23.8,0.085
